,PROPERTY_ID,PROPERTY_TYPE,BEDROOMS,BATHROOMS,SQUARE_FOOTAGE,LOT_SIZE,TAX_2024,EVENT_DATE,EVENT_PRICE,STATE,CITY,ZIP_CODE,PROPERTY_AGE
70,"12642-Indian-Oaks-Dr,-Bella-Vista,-CA-96008",Single Family,4.0,3.0,2770.0,97574.0,6438.0,2015-04-24,500000.0,CA,Bella Vista,96008,37
71,"470-Brackin-Trce,-Grayson,-GA-30017",Single Family,4.0,2.5,2175.0,24829.0,911.0,1995-04-27,126900.0,GA,Grayson,30017,32
72,"470-Brackin-Trce,-Grayson,-GA-30017",Single Family,4.0,2.5,2175.0,24829.0,911.0,2025-02-03,252500.0,GA,Grayson,30017,32
73,"7806-Read-Plz,-Omaha,-NE-68122",Townhouse,3.0,1.0,2130.0,7405.0,3111.0,2019-04-18,145000.0,NE,Omaha,68122,47
74,"806-E-Windward-Way,-Apt-609,-Lantana,-FL-33462",Condo,1.0,1.0,839.0,43560.0,4327.0,2005-09-08,300000.0,FL,Lantana,33462,21
75,"1504-Englewood-St,-Bethlehem,-PA-18017",Single Family,3.0,1.0,1064.0,8930.0,4729.0,2016-03-11,110000.0,PA,Bethlehem,18017,67
76,"418-N-Jackson-St,-Seaside,-OR-97138",Single Family,3.0,1.0,1041.0,4356.0,1629.0,2024-09-25,386500.0,OR,Seaside,97138,118
77,"937-Tucana-Dr,-San-Marcos,-CA-92078",Single Family,5.0,4.0,3461.0,11476.0,11750.0,2021-04-09,831500.0,CA,San Marcos,92078,12
78,"1607-Wilson-W-Lee-Blvd,-Statesville,-NC-28677",Single Family,3.0,1.0,1998.0,16117.0,764.0,2022-03-16,133500.0,NC,Statesville,28677,79
79,"1986-Summercrest-Dr-S,-Salem,-OR-97306",Single Family,3.0,2.0,1372.0,7405.0,3801.0,2015-06-26,196000.0,OR,Salem,97306,47
80,"1284-Sycamore-St,-Elgin,-IL-60123",Single Family,4.0,2.5,2740.0,10019.0,3739.0,1997-09-12,238729.0,IL,Elgin,60123,29
81,"21032-Sw-Modena-Way,-Port-Saint-Lucie,-FL-34986",Single Family,2.0,2.0,1620.0,5227.0,5786.0,2018-09-11,255300.0,FL,Port Saint Lucie,34986,8
82,"4050-Skyline-Dr,-Gainesville,-GA-30501",Single Family,3.0,2.5,1584.0,13504.0,3739.0,2024-12-09,385000.0,GA,Gainesville,30501,3
83,"11821-Charlemagne-Dr,-Maryland-Heights,-MO-63043",Condo,2.0,1.5,1088.0,1089.0,3739.0,2017-06-28,125500.0,MO,Maryland Heights,63043,51
84,"1116-Elkelton-Blvd,-Spring-Valley,-CA-91977",Single Family,3.0,1.5,1282.0,8800.0,3598.0,2009-01-05,131500.0,CA,Spring Valley,91977,67
85,"2928-Washington-Blvd,-Cleveland-Heights,-OH-44118",Single Family,4.0,3.5,2334.0,10836.0,3739.0,1989-03-15,98000.0,OH,Cleveland Heights,44118,109
86,"310-Patterson-Rd,-Santa-Maria,-CA-93455",Single Family,3.0,2.0,1752.0,10018.0,4380.0,2011-08-02,233000.0,CA,Santa Maria,93455,47
87,"3869-N-Chamberlain-Blvd,-North-Port,-FL-34286",Single Family,3.0,2.0,1373.0,19545.0,4566.0,2022-08-18,855700.0,FL,North Port,34286,28
88,"4506-Major-Ave,-Madison,-WI-53716",Single Family,2.0,1.0,956.0,8111.0,4418.0,2019-05-09,175000.0,WI,Madison,53716,81
89,"14844-N-El-Pueblo-Blvd,-Fountain-Hills,-AZ-85268",Single Family,4.0,4.0,3119.0,11922.0,2851.0,2022-04-22,825000.0,AZ,Fountain Hills,85268,31
90,"16330-Justine-St,-Markham,-IL-60428",Single Family,3.0,1.5,1161.0,5805.0,3739.0,2022-10-13,155000.0,IL,Markham,60428,62
91,"19725-J-St,-Omaha,-NE-68135",Single Family,4.0,3.0,2584.0,10890.0,10550.0,2013-10-29,312000.0,NE,Omaha,68135,13
92,"10261-Fountain-Cir,-Manassas,-VA-20110",Single Family,3.0,2.5,1820.0,1958.0,4639.0,2010-12-16,268580.0,VA,Manassas,20110,16
93,"1660-Glider-Ct,-Newbury-Park,-CA-91320",Single Family,4.0,3.5,2891.0,5662.0,13380.0,2023-11-06,1200000.0,CA,Newbury Park,91320,29
94,"5405-S-Sellas-St,-Tampa,-FL-33611",Single Family,3.0,2.0,1316.0,7500.0,566.0,1985-03-01,47900.0,FL,Tampa,33611,54
95,"3568-Boettler-St-NE,-Canton,-OH-44721",Multi-Family,4.0,2.0,1456.0,17019.0,3739.0,1998-07-22,105000.0,OH,Canton,44721,50
96,"312-W-Doane-Ave,-Eustis,-FL-32726",Single Family,4.0,2.0,1882.0,7344.0,5620.0,2024-05-03,345000.0,FL,Eustis,32726,3
97,"557-Fenton-Ave-NW,-Port-Charlotte,-FL-33952",Single Family,3.0,2.0,1220.0,9999.0,1756.0,2015-08-18,82300.0,FL,Port Charlotte,33952,39
98,"140-Soren-Ln,-Anderson,-SC-29621",Land,3.0,2.0,1584.0,8276.0,515.0,2019-09-30,9000.0,SC,Anderson,29621,46
99,"800-Parkview-Dr,-Apt-1019,-Hallandale-Beach,-FL-33009",Condo,2.0,2.0,1130.0,8276.0,6364.0,2012-08-24,170000.0,FL,Hallandale Beach,33009,50
100,"7130-Cleveland-St,-South-Solon,-OH-43153",Single Family,3.0,1.0,1120.0,9174.0,3739.0,2020-02-07,25000.0,OH,South Solon,43153,67
101,"5644-Hamilton-St,-Apt-67,-Sacramento,-CA-95842",Condo,1.0,1.0,844.0,8276.0,379.0,2012-12-27,32500.0,CA,Sacramento,95842,42
102,"64-E-Windsor-Rd,-Memphis,-TN-38109",Single Family,2.0,1.0,896.0,43560.0,3739.0,2021-07-19,47500.0,TN,Memphis,38109,65
103,"2383-Sovron-Ct,-Dublin,-OH-43016",Single Family,4.0,2.5,2098.0,15987.0,3739.0,1992-04-22,130000.0,OH,Dublin,43016,49
104,"10216-Bushman-Dr,-Apt-204,-Oakton,-VA-22124",Condo,2.0,2.0,1136.0,8276.0,1818.0,1997-12-31,93000.0,VA,Oakton,22124,50
105,"3591-Sacramento-Dr,-Apt-53,-San-Luis-Obispo,-CA-93401",Condo,3.0,2.0,1659.0,1695.0,4345.0,2018-05-07,325000.0,CA,San Luis Obispo,93401,19
106,"30774-Calle-Chueca,-San-Juan-Capistrano,-CA-92675",Single Family,2.0,1.5,1187.0,1499.0,2597.0,2011-08-29,179000.0,CA,San Juan Capistrano,92675,62
107,"302-Hollybrook-Dr,-Midland,-MI-48642",Single Family,4.0,1.5,1631.0,13068.0,3739.0,2020-10-06,169900.0,MI,Midland,48642,58
108,"5077-Nw-7th-St,-Apt-411,-Miami,-FL-33126",Condo,1.0,1.0,685.0,685.0,1926.0,2024-03-25,215000.0,FL,Miami,33126,23
109,"3219-Heights-Pl,-Bellingham,-WA-98226",Single Family,4.0,3.0,1218.0,11761.0,3739.0,2004-02-02,240000.0,WA,Bellingham,98226,52
110,"10S071-Springbrook-Dr,-Naperville,-IL-60565",Single Family,4.0,3.0,2662.0,23522.0,3739.0,2006-04-05,368000.0,IL,Naperville,60565,52
111,"662-Hastings-Cir-E,-Memphis,-TN-38107",Single Family,3.0,1.0,1262.0,5663.0,3739.0,1993-02-09,45000.0,TN,Memphis,38107,34
112,"12-Hill-St,-Hanover,-PA-17331",Single Family,3.0,1.5,2094.0,10846.0,5354.0,1972-01-03,25000.0,PA,Hanover,17331,57
113,"1111-Horizon-Dr,-Apt-210,-Grand-Junction,-CO-81506",Condo,2.0,2.0,918.0,43560.0,766.0,2018-10-16,155000.0,CO,Grand Junction,81506,42
114,"1085-Audubon-Dr,-Waterford,-MI-48328",Condo,2.0,2.0,1156.0,30013.0,3739.0,2022-05-13,225000.0,MI,Waterford,48328,37
115,"43991-Falmouth-Ct,-Ashburn,-VA-20147",Single Family,3.0,3.5,1614.0,1307.0,4489.0,2012-07-31,290000.0,VA,Ashburn,20147,38
116,"435-Virginia-Ave,-Unit-508,-Indianapolis,-IN-46203",Condo,2.0,2.0,1826.0,378.0,3739.0,2012-02-02,290000.0,IN,Indianapolis,46203,20
117,"3103-S-Dove-Ct,-Camp-Verde,-AZ-86322",Manufactured,3.0,2.0,992.0,9148.0,3739.0,2001-06-25,56500.0,AZ,Camp Verde,86322,37
118,"30730-Palmetto-Palm-Ave,-Homeland,-CA-92548",Manufactured,2.0,2.0,1344.0,4791.0,2167.0,2022-10-17,75000.0,CA,Homeland,92548,48
119,"18934-Sw-313th-Ter,-Homestead,-FL-33030",Single Family,3.0,1.0,1640.0,10800.0,1157.0,1975-03-01,24600.0,FL,Homestead,33030,54
120,"110-N-Federal-Hwy,-Apt-915,-Fort-Lauderdale,-FL-33301",Condo,2.0,2.0,1208.0,8276.0,7812.0,2005-03-31,377600.0,FL,Fort Lauderdale,33301,21
121,"11228-S-Harvard-Blvd,-Los-Angeles,-CA-90047",Single Family,3.0,1.0,1029.0,5453.0,9100.0,2022-03-17,680000.0,CA,Los Angeles,90047,79
122,"7286-E-Bobwhite-Ct,-San-Tan-Valley,-AZ-85143",Single Family,3.0,2.0,1866.0,6098.0,1338.0,2021-04-30,335700.0,AZ,San Tan Valley,85143,8
123,"2406-Ellsworth-Way,-Apt-1B,-Frederick,-MD-21702",Condo,2.0,2.0,1148.0,1148.0,3739.0,2024-06-17,270000.0,MD,Frederick,21702,33
124,"175-Masters-Dr,-Sumter,-SC-29154",Single Family,3.0,4.0,1926.0,6534.0,3739.0,2024-07-22,242900.0,SC,Sumter,29154,12
125,"101-Summit-Dr,-Maumelle,-AR-72113",Single Family,3.0,2.0,2317.0,14375.0,3613.0,2016-10-18,254000.0,AR,Maumelle,72113,14
126,"32215-Sunny-Ln,-Black-Diamond,-WA-98010",Single Family,3.0,1.0,1350.0,7588.0,4289.0,2017-06-23,305000.0,WA,Black Diamond,98010,33
127,"170-N-Little-Tor-Rd,-New-City,-NY-10956",Single Family,3.0,2.5,2328.0,24394.0,3739.0,2007-07-03,553000.0,NY,New City,10956,66
128,"60-Marina-Court-Dr,-San-Rafael,-CA-94901",Single Family,4.0,3.0,2377.0,5310.0,22241.0,2021-02-22,1567000.0,CA,San Rafael,94901,6
129,"3217-52nd-St-W,-Lehigh-Acres,-FL-33971",Land,3.0,2.0,1584.0,10890.0,395.0,2022-01-25,10600.0,FL,Lehigh Acres,33971,46
130,"3128-61st-Ter-E,-Ellenton,-FL-34222",Single Family,4.0,2.0,1844.0,8289.0,4650.0,2023-08-09,414800.0,FL,Ellenton,34222,3
131,"18251-Sw-99th-Ln,-Dunnellon,-FL-34432",Single Family,3.0,2.0,1812.0,9148.0,1988.0,2006-04-24,275000.0,FL,Dunnellon,34432,30
132,"4435-E-Observatory,-West-Chester,-OH-45069",Single Family,4.0,2.5,3772.0,25138.0,8587.0,2019-09-12,543664.0,OH,West Chester,45069,7
133,"4005-Banbury-St,-Windsor,-WI-53598",Single Family,3.0,2.0,1866.0,11631.0,3739.0,2022-01-03,3980100.0,WI,Windsor,53598,2
134,"5413-Rayburn-Rd,-Louisville,-KY-40272",Single Family,3.0,1.0,925.0,11286.0,1503.0,2020-07-16,129000.0,KY,Louisville,40272,55
135,"185-W-End-Ave,-Apt-7E,-New-York,-NY-10023",Condo,0.0,1.0,550.0,110653.0,3739.0,2014-06-03,430000.0,NY,New York,10023,64
136,"342-San-Luis-Way,-Blythe,-CA-92225",Single Family,4.0,1.0,1680.0,6534.0,2651.0,2023-06-15,232500.0,CA,Blythe,92225,55
137,"383-Evanston-Rd,-Unit-618,-Kingsford-Heights,-IN-46346",Single Family,3.0,1.0,935.0,13582.0,3739.0,2021-09-29,115000.0,IN,Kingsford Heights,46346,84
138,"147-Myers-Ave,-Akron,-OH-44305",Single Family,3.0,2.0,1169.0,3402.0,3739.0,2020-09-30,46000.0,OH,Akron,44305,112
139,"11865-Marabou-Ct-N,-Jacksonville,-FL-32223",Single Family,3.0,2.0,1606.0,10530.0,4980.0,2020-02-14,233000.0,FL,Jacksonville,32223,41
140,"543-Fassett-St,-Algonac,-MI-48001",Single Family,3.0,1.0,989.0,6098.0,3739.0,2009-06-03,30500.0,MI,Algonac,48001,55
141,"713-California-Ave,-Shafter,-CA-93263",Single Family,3.0,2.0,1675.0,8276.0,3573.0,2007-03-14,265000.0,CA,Shafter,93263,76
142,"34-Pillsbury-St,-South-Portland,-ME-04106",Single Family,2.0,1.0,1008.0,11761.0,5972.0,1994-05-03,80000.0,ME,South Portland,4106,55
143,"233-Merriman-Ave,-Syracuse,-NY-13204",Land,6.0,2.0,2558.0,5500.0,3739.0,2021-04-07,1091.0,NY,Syracuse,13204,101
144,"123-Eastwick-Ct,-Hillsborough,-NJ-08844",Single Family,3.0,2.0,1741.0,3726.0,3739.0,2015-08-17,360000.0,NJ,Hillsborough,8844,41
145,"18-Ashton-St,-Pawtucket,-RI-02860",Apartment,6.0,6.0,2965.0,8474.0,8880.0,2016-10-24,232000.0,RI,Pawtucket,2860,106
146,"3426-S-31st-St,-Tacoma,-WA-98409",Single Family,3.0,3.0,1674.0,1834.0,4473.0,2021-05-05,370000.0,WA,Tacoma,98409,19
147,"1522-Eastbrook-Dr,-Sarasota,-FL-34231",Single Family,3.0,3.0,2875.0,15112.0,4499.0,1995-09-21,195000.0,FL,Sarasota,34231,58
148,"941-King-Mill-Rd,-Mcdonough,-GA-30252",Single Family,3.0,2.0,1191.0,145926.0,2543.0,2025-12-10,163000.0,GA,Mcdonough,30252,30
149,"2122-Bradford-Ln,-Newcastle,-OK-73065",Single Family,4.0,2.0,1723.0,7771.0,3178.0,2022-08-18,240000.0,OK,Newcastle,73065,13
150,"204-N-Barry-St,-Olean,-NY-14760",Multi-Family,8.0,5.0,2950.0,6500.0,3739.0,2014-10-03,48000.0,NY,Olean,14760,96
151,"117-Northview-Ave,-Smelterville,-ID-83868",Single Family,2.0,1.0,1271.0,12502.0,42.0,2020-03-11,80000.0,ID,Smelterville,83868,98
152,"3312-Spanish-Wells-Dr,-Unit-47B,-Delray-Beach,-FL-33445",Condo,2.0,2.5,1232.0,8276.0,5337.0,2023-07-10,335000.0,FL,Delray Beach,33445,46
153,"5544-Prospectors-Creek-Way,-Las-Vegas,-NV-89122",Single Family,4.0,2.5,1954.0,3049.0,3739.0,2005-08-10,325477.0,NV,Las Vegas,89122,21
154,"935-Ridge-Gate-Dr,-Lewisville,-NC-27023",Single Family,4.0,3.5,2416.0,20038.0,3194.0,2008-06-27,327500.0,NC,Lewisville,27023,37
155,"767-Siebert-St,-Columbus,-OH-43206",Single Family,2.0,1.0,1043.0,5009.0,3739.0,2001-12-10,36000.0,OH,Columbus,43206,103
156,"446-Raindance-Pl,-Henderson,-NV-89014",Single Family,4.0,2.5,1876.0,6534.0,3739.0,2004-04-12,285000.0,NV,Henderson,89014,37
157,"16522-Irby-Ln,-Huntington-Beach,-CA-92647",Single Family,3.0,2.5,2168.0,5035.0,8779.0,2014-08-22,650000.0,CA,Huntington Beach,92647,37
158,"151-Courts,-of-Hampton,-Hampton,-GA-30228",Single Family,4.0,3.0,3517.0,39640.0,3739.0,2002-06-25,38000.0,GA,Hampton,30228,24
159,"15580-Chole-Rd,-Apple-Valley,-CA-92307",Single Family,6.0,3.0,3954.0,44150.0,5518.0,2020-06-04,450000.0,CA,Apple Valley,92307,21
160,"18416-Clear-Smoke-Rd,-Boyds,-MD-20841",Single Family,4.0,2.5,2100.0,5803.0,7330.0,2002-10-08,350170.0,MD,Boyds,20841,23
161,"927-E-Rittenhouse-St,-Philadelphia,-PA-19138",Single Family,3.0,1.0,1751.0,2633.0,2089.0,2007-09-15,152000.0,PA,Philadelphia,19138,111
162,"529-Millburn-Ave,-Short-Hills,-NJ-07078",Unknown,3.0,2.0,1584.0,8276.0,3739.0,1994-05-26,440000.0,NJ,Short Hills,7078,46
